Prefecture,Municipality,median_price,count,median_area,price_per_m2
Wakayama Prefecture,Wakayama City,5650000.0,108,162.5,34769.230769230766
Yamagata Prefecture,Higashine City,5100000.0,10,335.0,15223.880597014926
Yamagata Prefecture,Kaminoyama City,5000000.0,10,240.0,20833.333333333332
Yamagata Prefecture,Nagai City,5250000.0,10,335.0,15671.641791044776
Yamagata Prefecture,Sagae City,5600000.0,10,240.0,23333.333333333332
Yamagata Prefecture,Sakata City,3200000.0,19,165.0,19393.939393939392
Yamagata Prefecture,Shinjo City,3850000.0,10,197.5,19493.67088607595
Yamagata Prefecture,Tsuruoka City,3450000.0,24,175.0,19714.285714285714
Yamagata Prefecture,Yamagata City,5800000.0,51,170.0,34117.64705882353
Yamagata Prefecture,Yonezawa City,6450000.0,16,350.0,18428.571428571428
Yamaguchi Prefecture,Hagi City,4400000.0,13,210.0,20952.380952380954
Yamaguchi Prefecture,Hofu City,2900000.0,24,202.5,14320.987654320988
Yamaguchi Prefecture,Iwakuni City,6400000.0,64,190.0,33684.21052631579
Yamaguchi Prefecture,Kudamatsu City,4150000.0,16,225.0,18444.444444444445
Yamaguchi Prefecture,Nagato City,4000000.0,11,185.0,21621.62162162162
Yamaguchi Prefecture,San-yoonoda City,3000000.0,19,270.0,11111.111111111111
Yamaguchi Prefecture,Shimonoseki City,6800000.0,69,200.0,34000.0
Yamaguchi Prefecture,Shunan City,8000000.0,43,200.0,40000.0
Yamaguchi Prefecture,Ube City,3850000.0,66,300.0,12833.333333333334
Yamaguchi Prefecture,Yamaguchi City,7200000.0,72,255.0,28235.29411764706
Yamaguchi Prefecture,Yanai City,4300000.0,11,280.0,15357.142857142857
Yamanashi Prefecture,Kofu City,5800000.0,49,170.0,34117.64705882353
